Headword,Definitions,Part of Speech,Semantic Group,Frequency Rank
sustine_ sustin_re sustinu_ sustentum,"hold up, sustain",Verb: 2nd Conjugation,Social Life,762
tempt_ -_re,"try, test",Verb: 1st Conjugation,Making/Doing,430
t_tus -a -um,"safe, protected",Adjective: 1st and 2nd Declension,War and Peace,365
spatium -_ n.,space,Noun: 2nd Declension,Air and Fire,426
suus -a -um,"his own, her own, its own",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,27
tergum -_ n.,"back, rear; _ terg_: from the rear",Noun: 2nd Declension,The Body,474
tuus -a -um,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,44
spect_ -_re,"look at, consider",Verb: 1st Conjugation,Vision,473
tace_ -_re -u_ -itum,"be silent; tacitus -a -um, silent",Verb: 2nd Conjugation,Other Senses,369
terra -ae f.,land,Noun: 1st Declension,Earth and Water,70
vac_ vac_re,"be empty, open, unoccupied",Verb: 1st Conjugation,Measurement,724
sp_r_ -_re,to hope,Verb: 1st Conjugation,Emotions,648
t_lis t_le,such,Adjective: 3rd Declension,Measurement,203
terre_ terr_re terru_ territum,"terrify, frighten",Verb: 2nd Conjugation,Emotions,705
vacuus -a -um,empty,Adjective: 1st and 2nd Declension,Measurement,673
stella -ae f.,star,Noun: 1st Declension,Air and Fire,934
tamen,"nevertheless, still",Conjunction,Conjunctions/Adverbs,58
tertius -a -um,third,Adjective: 1st and 2nd Declension,Measurement,682
vagus -a -um,"wandering, shifting",Adjective: 1st and 2nd Declension,Travel,674
st_ st_re stet_ statum,stand,Verb: 1st Conjugation,Life and Being,168
tantus -a -um,"so great, so much; (as pronoun) such a quantity, so much; tant_, at such a price, of such worth",Adjective: 1st and 2nd Declension,Measurement,105
testis -is m.,witness,Noun: 3rd Declension,Justice,741
vale_ val_re valu_,"be strong, excel, be valid, prevail; val_: farewell!",Verb: 2nd Conjugation,Social Life,539
stude_ -_re -u_,"be eager, be zealous, care for (+ dat.)",Verb: 2nd Conjugation,Emotions,989
tardus -a -um,"slow, sluggish, lingering",Adjective: 1st and 2nd Declension,Time,738
time_ -_re -u_,"to fear, to dread",Verb: 2nd Conjugation,Emotions,153
validus -a -um,strong,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,816
studium -_ n.,"eagerness, zeal",Noun: 2nd Declension,Emotions,450
t_ctum -_ n.,"roof; building, house",Noun: 2nd Declension,The House,386
timor -_ris m.,fear,Noun: 3rd Declension,Emotions,536
vanus -a -um,"empty; false, deceitful",Adjective: 1st and 2nd Declension,Deception,856
sub,"under, close to (+acc. or abl.)",Preposition,Place,118
tellus tell_ris f.,earth,Noun: 3rd Declension,Earth and Water,337
t_tus -a -um,"whole, entire",Adjective: 1st and 2nd Declension,Measurement,78
varius -a -um,"changing, varied, various",Adjective: 1st and 2nd Declension,Other Senses,631
rec_ns -ntis,"fresh, new",Adjective: 3rd Declension,Time,781
saeculum -_ n.,"generation, age, century",Noun: 2nd Declension,Lengths of Time,776
senex -is m.,"old man, elder; senior, older",Noun: 3rd Declension,People,558
s_l s_lis m.,sun,Noun: 3rd Declension,Air and Fire,320
r_ctus -a -um,"straight, direct",Adjective: 1st and 2nd Declension,Measurement,823
saevus -a -um,"fierce, raging, wrathful",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,244
sententia -ae f.,"opinion, judgment",Noun: 1st Declension,Education/Knowledge,586
sole_ -_re -u_ -itum,be accustomed,Verb: 2nd Conjugation,Personality Traits/Characteristics,246
regi_ -_nis f.,"boundary, region",Noun: 3rd Declension,Geography,585
sal_s -_tis f.,"health, safety",Noun: 3rd Declension,Life and Being,549
sepulcrum -_ n.,"place of burial, tomb, grave",Noun: 2nd Declension,Life and Being,949
solv_ solvere solv_ sol_tum,"release, set sail",Verb: 2nd Conjugation,Travel,325
r_gius -a -um,"kingly, royal",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,561
s_nctus -a -um,"sacred, inviolable",Adjective: 1st and 2nd Declension,Religion,659
serm_ -_nis m.,"conversation, discourse",Noun: 3rd Declension,Speech/Oratory,575
s_lus -a -um,"only, alone",Adjective: 1st and 2nd Declension,Measurement,176
r_gnum -_ n.,"kingship, kingdom",Noun: 2nd Declension,Geography,121
sanguis -inis m.,blood,Noun: 3rd Declension,The Body,214
serv_ -_re,"save, watch over",Verb: 1st Conjugation,The Household,289
somnus -_ m.,"sleep, slumber; (pl.) dreams",Noun: 2nd Declension,Life and Being,438
reliquus -a -um,"remaining, rest",Adjective: 1st and 2nd Declension,Measurement,788
s_nus -a -um,"sound, sane",Adjective: 1st and 2nd Declension,Life and Being,946
servus -_ m.,slave,Noun: 2nd Declension,The Household,496
responde_ -spond_re -spond_ -sp_nsum,answer,Verb: 2nd Conjugation,Speech/Oratory,535
sapi_ns -ntis,"wise; (as subst.) wise man, sage, philosopher",Adjective: 3rd Declension,Education/Knowledge,453
seu,whether; seu ... seu: whether ... or _ s_ve,Conjunction,Conjunctions/Adverbs,343
retine_ -tin_re -tinu_ -tentum,"hold back, keep",Verb: 2nd Conjugation,Verbs of Compelling/Directing,647
sapientia -ae f.,wisdom,Noun: 1st Declension,Education/Knowledge,797
s_,if,Conjunction,Conjunctions/Adverbs,16
revoc_ -_re,"call back, recall",Verb: 1st Conjugation,Social Life,813
saxum -_ n.,"rock, cliff, crag",Noun: 2nd Declension,Earth and Water,306
s_dus -eris n.,"star, constellation",Noun: 3rd Declension,Air and Fire,359
reus -_ m.,defendant,Noun: 2nd Declension,Justice,888
scelus -eris n.,"crime, sin",Noun: 3rd Declension,Justice,154
s_gnum -_ n.,"sign, standard, mark",Noun: 2nd Declension,War and Peace,261
quisquis quidquid,"whoever, whichever",Pronoun,Pronouns/Interrogatives,129
r_x r_gis m.,king,Noun: 3rd Declension,The City,60
scientia -ae f.,knowledge,Noun: 1st Declension,Education/Knowledge,971
silva -ae f.,"forest, grove",Noun: 1st Declension,Animals/Plants,234
qu_modo,"in what way, how?",Conjunction,Pronouns/Interrogatives,831
r_pa -ae f.,bank of a river,Noun: 1st Declension,Earth and Water,662
secundus -a -um,following; favorable; (as numeral) second,Adjective: 1st and 2nd Declension,Measurement,836
similis -e,"like, similar",Adjective: 3rd Declension,Personality Traits/Characteristics,414
quoniam,"since, seeing that",Conjunction,Conjunctions/Adverbs,510
rog_ -_re,ask,Verb: 1st Conjugation,Speech/Oratory,551
s_c_rus -a -um,"free from care, tranquil; careless",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,697
sine,without (+ abl.),Preposition,Non-Directional Prepositions,104
quoque,"also, too",Conjunction,Conjunctions/Adverbs,76
r_s r_ris n.,country,Noun: 3rd Declension,Geography,879
sed,but,Conjunction,Conjunctions/Adverbs,20
singul_ -ae -a,one each,Adjective: 1st and 2nd Declension,Measurement,507
r_rus -a -um,"wide apart, loose, thin; rare, seldom",Adjective: 1st and 2nd Declension,Measurement,752
sacer sacra sacrum,"holy, sacred",Adjective: 1st and 2nd Declension,Religion,398
sede_ sed_re s_d_ sessum,sit,Verb: 2nd Conjugation,The House,506
s_ve,whether; s_ve ... s_ve: whether ... or _ seu,Conjunction,Conjunctions/Adverbs,362
rati_ -_nis f.,"method, plan, reason",Noun: 3rd Declension,Education/Knowledge,256
sacerd_s -d_tis m./f.,"priest, priestess",Noun: 3rd Declension,Religion,939
s_d_s -is f.,"seat, abode, habitation",Noun: 3rd Declension,The House,403
socius -a -um,"friendly, allied; socius -_ m.: partner, comrade",Adjective: 1st and 2nd Declension,Social Life,372
praes_ns -ntis,"present, in person, ready",Adjective: 3rd Declension,Place,822
prope,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost",Preposition,Place,189
quantus -a -um,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quant_, at what price? (rel.) at which price",Pronoun,Pronouns/Interrogatives,311
praesidium -_ n.,"garrison, protection",Noun: 2nd Declension,War and Peace,582
proper_ -_re,"hasten, speed",Verb: 1st Conjugation,Motion,537
quattuor,four,Adjective: Numeral,Measurement,867
pontus -_ m.,"the open sea, the deep",Noun: 2nd Declension,Earth and Water,630
praest_ -st_re -stit_ -stitum,"excel, exhibit",Verb: 1st Conjugation,Other Senses,423
proprius -a -um,"one’s own, peculiar",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,854
que,and (postpositive enclitic),Conjunction,Conjunctions/Adverbs,4
populus -_ m.,people,Noun: 2nd Declension,The City,122
praeter,"by, along, past; besides, except (+ acc.)",Preposition,Place,756
propter,because of (+ acc.),Preposition,Non-Directional Prepositions,560
qu_ quae quod,"who, which, what",Pronoun,Pronouns/Interrogatives,3
porta -ae f.,gate,Noun: 1st Declension,The City,759
praetor -_ris m.,"praetor, one of the chief Roman magistrates",Noun: 3rd Declension,The City,878
pr_vincia -ae f.,province; official duty,Noun: 1st Declension,The City,620
quia,because,Conjunction,Conjunctions/Adverbs,132
port_ -_re,carry a load,Verb: 1st Conjugation,Measurement,853
pretium -_ n.,"price, worth, reward; pretium operae: a reward for trouble",Noun: 2nd Declension,Business/Money,629
p_blicus -a -um,"public, belonging to the state",Adjective: 1st and 2nd Declension,The City,517
qu_cumque quaecumque quodcumque,"who-, whatever",Pronoun,Pronouns/Interrogatives,284
post,after (adv. and prep. +acc.),Preposition,Time,164
prex precis f.,"prayers, entreaties",Noun: 3rd Declension,Religion,520
pudor pud_ris m.,"sense of shame, modesty, propriety",Noun: 3rd Declension,Personality Traits/Characteristics,616
qu_dam quaedam quoddam,"a certain one, someone",Pronoun,Pronouns/Interrogatives,126
posterus -a -um,"next, later",Adjective: 1st and 2nd Declension,Time,877
pr_mus -a -um,first,Adjective: 1st and 2nd Declension,Time,91
puella -ae f.,girl; girl-friend,Noun: 1st Declension,People,233
quisquam quicquam/quidquam,"any (single) person, anyone at all",Pronoun,Pronouns/Interrogatives,12
postquam,after,Conjunction,Time,384
pr_nceps -cipis,"first, chief; (as subst.) leader, person in charge",Adjective: 3rd Declension,The City,317
puer puer_ m.,boy; slave,Noun: 2nd Declension,People,191
quis quid,who? what? which?,Pronoun,Pronouns/Interrogatives,212
pot_ns potentis,"able, powerful",Adjective: 3rd Declension,Personality Traits/Characteristics,567
pr_ncipium -_ n.,beginning,Noun: 2nd Declension,Time,948
p_gna -ae f.,fist-fight; battle,Noun: 1st Declension,Violence,650
quisque quaeque quidque,"each one, everyone",Pronoun,Pronouns/Interrogatives,197
potest_s -_tis f.,power,Noun: 3rd Declension,The City,737
prior prius,"earlier, preceding",Adjective: 3rd Declension,Time,526
pugn_ -_re,fight,Verb: 1st Conjugation,Violence,708
potis -e,"powerful, able",Adjective: 3rd Declension,Personality Traits/Characteristics,947
pr_v_tus -a -um,"personal, private",Adjective: 1st and 2nd Declension,Social Life,882
pulcher -chra -chrum,beautiful,Adjective: 1st and 2nd Declension,Vision,569
praebe_ -_re -u_ -itum,"furnish, supply, render",Verb: 2nd Conjugation,Verbs of Transport,584
pr_,"for, on behalf of, in proportion to (+abl.)",Preposition,Non-Directional Prepositions,128
put_ -_re,"think, suppose",Verb: 1st Conjugation,Education/Knowledge,166
praeceptum -_ n.,"rule, precept; command",Noun: 2nd Declension,Justice,825
prob_ -_re,"approve, prove; convince one (dat.) of a thing (acc.)",Verb: 1st Conjugation,Verbs of Compelling/Directing,784
qu_,"where, how",Pronoun,Pronouns/Interrogatives,336
praeda -ae f.,"booty, prey",Noun: 1st Declension,War and Peace,626
proelium -_ n.,battle,Noun: 2nd Declension,War and Peace,348
qu_lis -e,of what kind? what?,Pronoun,Pronouns/Interrogatives,263
praemium -_ n.,"bounty, reward",Noun: 2nd Declension,Business/Money,680
prohibe_ -_re -u_ -itum,"restrain, keep away",Verb: 2nd Conjugation,Verbs of Compelling/Directing,604
quamquam,"however, although",Conjunction,Conjunctions/Adverbs,644
n_ntius -_ m.,messenger; news,Noun: 2nd Declension,Travel,919
_r_ -_re,pray,Verb: 1st Conjugation,Religion,755
pecc_ -_re,"commit a wrong, injure",Verb: 1st Conjugation,Justice,792
po_ta -ae m.,poet,Noun: 1st Declension,Writing/Poetry,913
ob,"against, on account of (+acc)",Preposition,Place,449
_s _ris n.,"mouth, face",Noun: 3rd Declension,The Body,147
pectus -oris n.,"chest, breast",Noun: 3rd Declension,The Body,183
pondus ponderis n.,weight,Noun: 3rd Declension,Measurement,636
occup_ -_re,"seize, occupy; anticipate, do a thing first (+ infin.)",Verb: 1st Conjugation,War and Peace,472
os ossis n.,bone,Noun: 3rd Declension,The Body,696
pec_nia -ae f.,money,Noun: 1st Declension,Business/Money,530
nimius -a -um,"too much, excessive",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,502
oculus -_ m.,eye,Noun: 2nd Declension,The Body,206
_tium -_ n.,leisure,Noun: 2nd Declension,Social Life,715
pecus -oris n.,"cattle, sheep",Noun: 3rd Declension,Animals/Plants,566
n_bilis -e,"distinguished, noble; (as subst.) a nobleman or woman",Adjective: 3rd Declension,Personality Traits/Characteristics,455
odium -_ n.,hatred,Noun: 2nd Declension,Emotions,522
p_r paris,equal,Adjective: 3rd Declension,Measurement,281
per,through (+acc.),Preposition,Place,30
noce_ noc_re nocu_,harm,Verb: 2nd Conjugation,Violence,509
officium -_ n.,"service, duty",Noun: 2nd Declension,The City,607
par_ -_re,"prepare, acquire; par_tus -a -um, ready",Verb: 1st Conjugation,Making/Doing,160
per_culum -_ n.,danger,Noun: 2nd Declension,Violence,265
n_men -inis n.,name,Noun: 3rd Declension,Social Life,135
omnis -e,"all, every, as a whole",Adjective: 3rd Declension,Measurement,18
par_ns -ntis m./f.,parent,Noun: 3rd Declension,The Household,190
perpetuus -a -um,"unbroken, perpetual",Adjective: 1st and 2nd Declension,Lengths of Time,891
n_s nostrum/nostr_ n_b_s n_s,we,Pronoun,Pronouns/Interrogatives,51
onus oneris n.,"load, burden",Noun: 3rd Declension,Measurement,842
p_re_ p_r_re p_ru_,obey,Verb: 2nd Conjugation,Verbs of Compelling/Directing,847
pertine_ -tin_re -tinu_,"extend over, reach; refer to, pertain to, be the business of",Verb: 2nd Conjugation,Education/Knowledge,866
noster nostra nostrum,our,Pronoun,Pronouns/Interrogatives,52
opera -ae f.,"labor, activity, work",Noun: 1st Declension,Business/Money,843
pars partis f.,part,Noun: 3rd Declension,Measurement,65
p_s pedis m.,foot,Noun: 3rd Declension,The Body,199
n_tus -a -um,well-known,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,477
oppidum -_ n.,town,Noun: 2nd Declension,The City,635
parvus -a -um,small,Adjective: 1st and 2nd Declension,Measurement,143
piet_s -t_tis f.,"sense of duty, devotion, esp. between parents and children",Noun: 3rd Declension,The Household,767
novus -a -um,new,Adjective: 1st and 2nd Declension,Time,139
ops opis f.,"assistance, resources",Noun: 3rd Declension,Business/Money,318
pate_ pat_re patu_,"lie open, extend; be evident or obvious",Verb: 2nd Conjugation,Geography,550
pius -a -um,"dutiful, devoted, just, pious",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,748
nox noctis f.,night,Noun: 3rd Declension,Lengths of Time,119
opt_ -_re,"choose, select",Verb: 1st Conjugation,Personality Traits/Characteristics,417
pater patris m.,"father, ancestor",Noun: 3rd Declension,The Household,71
place_ plac_re placu_ placitum,please,Verb: 2nd Conjugation,Social Life,287
n_dus -a -um,"naked, bare",Adjective: 1st and 2nd Declension,The Body,545
opus operis n.,work,Noun: 3rd Declension,Business/Money,332
patria -ae f.,"fatherland, country",Noun: 1st Declension,Geography,342
pl_bs pl_bis f.,the common people,Noun: 3rd Declension,The City,649
n_llus -a -um,"not any, no one",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,49
_r_ti_ -_nis f.,"speech, address",Noun: 3rd Declension,Speech/Oratory,736
pauc_ -ae -a,"few, a few",Adjective: 1st and 2nd Declension,Measurement,858
pl_nus -a -um,full,Adjective: 1st and 2nd Declension,Measurement,459
n_men -inis n.,"divine will, deity",Noun: 3rd Declension,Religion,452
orbis -is m.,circle; orbis terr_rum: world,Noun: 3rd Declension,Geography,322
pauper -eris,"poor, lowly",Adjective: 3rd Declension,Business/Money,844
pl_rus- pl_ra- pl_rumque,"the greater part, very many, most, the majority",Adjective: 1st and 2nd Declension,Measurement,968
numerus -_ m.,"number, amount",Noun: 2nd Declension,Measurement,338
_rd_ -_nis m.,"order, rank",Noun: 3rd Declension,War and Peace,416
p_x p_cis f.,peace,Noun: 3rd Declension,War and Peace,388
poena -ae f.,"penalty, punishment",Noun: 1st Declension,Justice,223
lib_d_ -inis f.,"passion, lust",Noun: 3rd Declension,Love,761
malus -a -um,"bad, evil",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,227
miser misera miserum,"wretched, pitiable",Adjective: 1st and 2nd Declension,Emotions,137
mundus -_ m.,"world, universe, heavens",Noun: 2nd Declension,Earth and Water,350
neque,"and not, nor; neque ... neque, neither ... nor; _ nec",Conjunction,Conjunctions/Adverbs,72
licet,even though,Conjunction,Justice,778
mane_ man_re m_ns_ m_nsum,remain,Verb: 2nd Conjugation,Travel,357
modus -_ m.,"measure, manner, kind",Noun: 2nd Declension,Measurement,195
m_nus m_neris n.,"gift, offering; duty, obligation; (pl.) gladiatorial show",Noun: 3rd Declension,Social Life,276
"nisi, n_","if not, unless",Conjunction,Conjunctions/Adverbs,100
l_men l_minis n.,threshold,Noun: 3rd Declension,The House,516
mare -is n.,sea,Noun: 3rd Declension,Earth and Water,125
moenia -ium n. pl.,"walls, fortifications",Noun: 3rd Declension,The City,593
m_rus -_ m.,wall,Noun: 2nd Declension,The House,508
niger nigra nigrum,black,Adjective: 1st and 2nd Declension,Vision,634
lingua -ae f.,tongue; language,Noun: 1st Declension,The Body,732
mar_tus -_ m.,husband,Noun: 2nd Declension,The Household,654
mollis -e,"soft, yielding, gentle",Adjective: 3rd Declension,Other Senses,356
m_t_ -_re,change,Verb: 1st Conjugation,Making/Doing,315
littera -ae f.,"letter, (pl.) literature",Noun: 1st Declension,Writing/Poetry,710
m_ter m_tris f.,mother,Noun: 3rd Declension,The Household,127
mone_ mon_re monu_ monitum,"warn, advise",Verb: 2nd Conjugation,Speech/Oratory,711
nam or namque,"for, indeed, really",Conjunction,Conjunctions/Adverbs,61
l_tus -oris n.,shore,Noun: 3rd Declension,Geography,245
m_teria -ae f.,"material, subject matter; timber, lumber",Noun: 1st Declension,Speech/Oratory,857
m_ns montis m.,mountain,Noun: 3rd Declension,Geography,242
narr_ -_re,"relate, recount",Verb: 1st Conjugation,Speech/Oratory,910
locus -_ m.,place; loca (n. pl.) region,Noun: 2nd Declension,Geography,62
medius -a -um,"middle, central",Adjective: 1st and 2nd Declension,Place,162
mora -ae f.,"delay, hindrance",Noun: 1st Declension,Time,399
n_t_ra -ae f.,nature,Noun: 1st Declension,Life and Being,180
longus -a -um,"long, far",Adjective: 1st and 2nd Declension,Measurement,142
membrum -_ n.,"limb, member of the body",Noun: 2nd Declension,The Body,481
morbus -_ m.,"sickness, disease",Noun: 2nd Declension,The Body,658
n_tus -_ m.,son,Noun: 2nd Declension,The Household,211
l_men luminis n.,light,Noun: 3rd Declension,Vision,375
memoria -ae f.,"recollection, memory",Noun: 1st Declension,Education/Knowledge,627
mors mortis f.,death,Noun: 3rd Declension,Life and Being,95
n_vis -is f.,ship,Noun: 3rd Declension,Travel,353
l_na -ae f.,moon,Noun: 1st Declension,Air and Fire,902
m_ns mentis f.,mind,Noun: 3rd Declension,The Body,173
mort_lis -e,"liable to death, mortal; (as subst.) a mortal",Adjective: 3rd Declension,Life and Being,950
n_,"lest, that not",Conjunction,Conjunctions/Adverbs,47
l_x l_cis f.,light of day,Noun: 3rd Declension,Air and Fire,299
m_nsa -ae f.,table,Noun: 1st Declension,The House,747
m_s m_ris m.,"custom, habit; (pl.) character",Noun: 3rd Declension,Social Life,181
nec,"and not, nor; nec ... nec, neither ... nor; _ neque",Conjunction,Conjunctions/Adverbs,19
levis -e,"light, trivial",Adjective: 3rd Declension,Measurement,220
maestus -a -um,"sad, sorrowful; depressing",Adjective: 1st and 2nd Declension,Emotions,669
mere_ mer_re meru_ meritum,"deserve, merit; serve as a soldier",Verb: 2nd Conjugation,Business/Money,852
move_ -_re m_v_ m_tum,move,Verb: 2nd Conjugation,Motion,192
necessit_s -t_tis f.,"necessity, need",Noun: 3rd Declension,Business/Money,911
l_x l_gis f.,law,Noun: 3rd Declension,Justice,264
magister magistr_ m.,"master, chief",Noun: 2nd Declension,Education/Knowledge,933
meus -a -um,my,Pronoun,Pronouns/Interrogatives,41
multus -a -um,"much, many; mult_, by far",Adjective: 1st and 2nd Declension,Measurement,43
neg_ -_re,"deny, refuse",Verb: 1st Conjugation,Speech/Oratory,294
l_ber l_bera l_berum,free; l_ber_ (m. pl.): freeborn children,Adjective: 1st and 2nd Declension,Justice,229
m_gnit_d_ -inis f.,"greatness, size",Noun: 3rd Declension,Measurement,672
m_les -itis m.,soldier,Noun: 3rd Declension,War and Peace,161
mulier -eris f.,woman,Noun: 3rd Declension,People,961
neg_tium -_ n.,business,Noun: 2nd Declension,Business/Money,846
liber libr_ m.,book,Noun: 2nd Declension,Writing/Poetry,901
m_gnus -a -um,great,Adjective: 1st and 2nd Declension,Measurement,25
m_lle (pl.) m_lia,thousand,Adjective: Numeral,Measurement,247
multit_d_ -inis f.,"multitude, number",Noun: 3rd Declension,Measurement,733
n_m_,"no one (gen. n_ll_us, dat. n_ll_, abl. n_ll_ or n_ll_ _ n_llus -a -um)",Pronoun,Pronouns/Interrogatives,179
l_bert_s -_tis f.,freedom,Noun: 3rd Declension,The City,495
m_i_r_s m_i_rum m.,ancestors,Noun: 3rd Declension,The Household,764
misce_ misc_re miscu_ mixtum,mix,Verb: 2nd Conjugation,Earth and Water,425
mundus -a -um,"clean, neat, elegant",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,997
nemus nemoris n.,"grove, forest",Noun: 3rd Declension,Animals/Plants,461
h_ra -ae f.,hour,Noun: 1st Declension,Lengths of Time,664
indic_ -_re,"point out, show, make known",Verb: 1st Conjugation,Speech/Oratory,980
_ra irae f.,"wrath, anger",Noun: 1st Declension,Emotions,187
lab_r_ -_re,"toil, work; be in trouble or distress",Verb: 1st Conjugation,Business/Money,900
